title,Rera registered,property_type,total_units,possession_status,Price,Location,Builder,Min Price,Max Price,Average Price
A Shridhar Kaveri Sangam,Yes,"2, 3 BHK  Apartment",224,Completed Projects,45.44 - 53.25 Lac,Shilaj,A Shridhar,45.44,53.25,49.345
A Shridhar Kaveri Pratham,No,"2, 3 BHK  Apartment",165,Completed Projects,None,Shilaj,A Shridhar,,,
Goyal Riviera One,Yes,"4, 5 BHK  Apartment",48,Ongoing Projects,None,Prahlad Nagar,Goyal and Company,,,
Goyal Riviera Elegance,No,4 BHK  Apartment,44,Completed Projects,3.50 Cr.,Prahlad Nagar,Goyal and Company,350.0,350.0,350.0
Goyal Riviera Antilla,No,"4, 5 BHK  Apartment",41,Completed Projects,None,Prahlad Nagar,Goyal and Company,,,
Vyapti Vandemataram Crosswind,No,"2, 3 BHK  Apartment",168,Completed Projects,33.91 - 47.43 Lac,Gota,Vyapti Companies,33.91,47.43,40.67
Goyal Green Park,No,4 BHK  Apartment,114,Completed Projects,1.40 - 1.75 Cr.,Nava Vadaj,Goyal and Company,140.0,175.0,157.5
Goyal Riviera Greens,No,5 BHK  Apartment,48,Completed Projects,None,Nava Vadaj,Goyal and Company,,,
Vyapti Vandematram Fabula,No,"2, 3 BHK  Apartment",200,Ongoing Projects,35.51 - 43.19 Lac,S G Highway,Vyapti Companies,35.51,43.19,39.349999999999994
Goyal Orchid Heaven,Yes,"3, 4 BHK  Apartment",448,Ongoing Projects,None,Bopal,Goyal and Company,,,
Goyal Orchid Divine,Yes,3 BHK  Apartment,252,Ongoing Projects,None,Bopal,Goyal and Company,,,
Goyal Orchid Paradise,Yes,"2, 3 BHK  Apartment",384,Completed Projects,None,Bopal,Goyal and Company,,,
Goyal Orchid Mayfair,No,4 BHK  Apartment,33,Completed Projects,None,Makarba,Goyal and Company,,,
Goyal Riviera Exotica,No,"4, 5 BHK  Apartment",22,Completed Projects,None,Vastrapur,Goyal and Company,,,
Goyal Nirvana Greens,No,Residential Plot,334,Completed Projects,None,Sanand,Goyal and Company,,,
Goyal Green Forest,No,Residential Plot,,Upcoming Projects,None,Sanand,Goyal and Company,,,
Shivalik Arcade,No,3 BHK  Apartment,,Ongoing Projects,None,Prahlad Nagar,Shivalik Builders (P) Ltd.,,,
Vyapti Vandemataram City,No,"2, 3 BHK  Apartment",405,Completed Projects,38.90 - 51.97 Lac,Gota,Vyapti Companies,38.9,51.97,45.435
Vyapti Vandemataram Prime,No,"2, 3 BHK  Apartment",160,Completed Projects,None,Gota,Vyapti Companies,,,
Vyapti Vandemataram Icon,No,"2, 3 BHK  Apartment",168,Completed Projects,None,Gota,Vyapti Companies,,,
Goyal Orchid Woods,No,3 BHK  Apartment,96,Completed Projects,80 - 91.29 Lac,Prahlad Nagar,Goyal and Company,80.0,91.29,85.64500000000001
Goyal Green Woods,No,Residential Plot,65,Completed Projects,None,Sanand,Goyal and Company,,,
Goyal Vishal Residency,No,"2, 3 BHK  Apartment",144,Completed Projects,None,Prahlad Nagar,Goyal and Company,,,
Goyal Riviera Blues,No,4 BHK  Apartment,208,Completed Projects,1.65 - 1.76 Cr.,Prahlad Nagar,Goyal and Company,165.0,176.0,170.5
Goyal Orchid Greenfield,No,"2, 3 BHK  Apartment",640,Completed Projects,None,Sardar Patel Ring Rd,Goyal and Company,,,
Goyal Orchid Harmony,No,"3, 4 BHK  Apartment",384,Completed Projects,None,Sardar Patel Ring Rd,Goyal and Company,,,
Goyal Riviera Sky Villas,No,5 BHK  Apartment,,,None,Prahlad Nagar,Goyal and Company,,,
Vyapti Vandemataram Empire,No,"2, 3 BHK  Apartment",230,Completed Projects,None,Vinzol,Vyapti Companies,,,
Parshwanath Metrocity,No,"2, 3, 4 BHK  Apartment",348,Completed Projects,None,Chandkheda,Parshwanath Group of Companies,,,
Kalp Greens,No,Individual Houses,,Ongoing Projects,9.58 - 28.75 Lac,Sanand,The Kent Procon Group,9.58,28.75,19.165
Rivasa,No,Residential Plot,,Ongoing Projects,None,S G Highway,Select Realty,,,
Gini Lake Gardenz,No,3 BHK  Apartment,88,Completed Projects,76.01 - 85.18 Lac,Makarba,Gini Constructions,76.01,85.18,80.595
Khyati Bonito,No,"3, 4 BHK  Apartment",,Ongoing Projects,None,Thaltej,Khyati Realities Limited,,,
Khyati Green Leaves,No,2 BHK  Apartment,36,Completed Projects,None,Thaltej,Khyati Realities Limited,,,
Khyati Vishwaketu II,No,4 BHK  Apartment,40,Completed Projects,None,Bodakdev,Khyati Realities Limited,,,
Khyati Vishwaketu I,No,4 BHK  Apartment,21,Completed Projects,None,Bodakdev,Khyati Realities Limited,,,
Khyati Green Aura,No,2 BHK  Apartment,150,Completed Projects,25.46 - 33.35 Lac,Tragad,Khyati Realities Limited,25.46,33.35,29.405
Khyati Green City,No,1 RK  Apartment,594,Completed Projects,15 Lac,Rakanpur,Khyati Realities Limited,15.0,15.0,15.0
Khyati Kadamb Residency,No,"2, 3 BHK  Apartment",100,Completed Projects,24.59 - 35.59 Lac,Chandkheda,Khyati Realities Limited,24.59,35.59,30.090000000000003
Khyati Krishna 99,No,"1, 2 BHK  Apartment",145,Completed Projects,15.79 - 30.55 Lac,Chandkheda,Khyati Realities Limited,15.79,30.55,23.17
Khyati Greenera,No,2 BHK  Apartment,66,Completed Projects,None,Chandkheda,Khyati Realities Limited,,,
Shree Balaji Agora Residency,No,"2, 3, 4 BHK  Apartment",816,Completed Projects,22.68 - 47.20 Lac,Gandhinagar Road,Shree Balaji Construction,22.68,47.2,34.94
Sankalp Grace,No,4 BHK  Apartment,24,Completed Projects,None,S G Highway,Sankalp Organisers,,,
Sankalp Serenity,No,4 BHK  Apartment,60,Completed Projects,None,Thaltej,Sankalp Organisers,,,
Aagam 999,No,Residential Plot,1600,Completed Projects,7.99 - 39.96 Lac,Mandal,Aagam Group,7.99,39.96,23.975
Amaya 426,No,3 BHK  Apartment,40,Completed Projects,None,Bodakdev,Amaya Properties,,,
Olive Woods,No,Residential Plot,45,Completed Projects,None,Shilaj,Olive Grace,,,
Olive Heights II,No,3 BHK  Apartment,8,Completed Projects,None,Satellite,Olive Grace,,,
Sankalp Sandipani,No,"2, 3 BHK  Apartment",40,Completed Projects,None,Ashram Road,Sankalp Organisers,,,
Aagam 54,No,Residential Plot,54,Completed Projects,None,Nalsarover,Aagam Group,,,
Aagam 45,No,Residential Plot,94,Completed Projects,None,Thol,Aagam Group,,,
Amaya 48K,No,"1, 4 BHK  Apartment",24,Completed Projects,None,Koteshwar,Amaya Properties,,,
Amaya 229,No,3 BHK  Apartment,16,Completed Projects,None,Navrangpura,Amaya Properties,,,
Amaya 142 Parkwest,No,4 BHK  Apartment,6,Completed Projects,None,Bodakdev,Amaya Properties,,,
Amaya 612 Elevate,No,"3, 4 BHK  Apartment",33,Completed Projects,2.30 Cr.,Ambawadi,Amaya Properties,229.99999999999997,229.99999999999997,229.99999999999997
Shree Balaji Green Valley,No,4 BHK  Apartment,48,Completed Projects,5.40 Cr.,Narmada Canal,Shree Balaji Construction,540.0,540.0,540.0
Shree Balaji Heritage Villa,No,5 BHK  Apartment,11,Completed Projects,9 Cr.,Narmada Canal,Shree Balaji Construction,900.0,900.0,900.0
Amaya 78 Gokuldham,Yes,"3, 4 BHK  Apartment",192,Completed Projects,96.72 Lac - 1.65 Cr.,Sanand,Amaya Properties,96.72,165.0,130.86
Shree Balaji Villa,No,4 BHK  Apartment,100,Completed Projects,None,Gandhinagar Highway,Shree Balaji Construction,,,
Sankalp Grace II,Yes,4 BHK  Apartment,57,Completed Projects,None,Ambli,Sankalp Organisers,,,
Adani La Marina,Yes,"4, 5 BHK  Apartment",153,Ongoing Projects,2.01 - 4.15 Cr.,Vaishno Devi Circle,Not known,200.99999999999997,415.00000000000006,308.0
Adani The North Park,No,"4, 5, 6 BHK  Apartment",165,Completed Projects,3.85 - 10.75 Cr.,S G Highway,Adani Realty,385.0,1075.0,730.0
Adani Water Lily,No,"3, 4, 5 BHK  Apartment",1844,Completed Projects,1.06 - 3.50 Cr.,S G Highway,Adani Realty,106.0,350.0,228.0
Adani The Meadows,No,"2, 3 BHK  Apartment",2048,Completed Projects,46 - 95 Lac,S G Highway,Adani Realty,46.0,95.0,70.5
Satyam Skyline,No,"2, 3 BHK  Apartment",176,Completed Projects,1.17 Cr.,Naranpura,Satyam Developers Ltd.,117.0,117.0,117.0
Frutilla,No,Residential Plot,,Ongoing Projects,None,Bagodara,The Kent Procon Group,,,
Satyam Sarjan,No,"1, 2 BHK  Apartment",240,Completed Projects,12.78 - 18.36 Lac,Changodar,Satyam Developers Ltd.,12.78,18.36,15.57
Bsafal Paarijat Eclat,Yes,4 BHK  Apartment,84,Ongoing Projects,None,Ambli,bSafal Vivaan,,,
Bsafal Parisar,No,"2, 3 BHK  Apartment",480,Completed Projects,None,Bopal,bSafal Vivaan,,,
Bsafal Parishkaar II Phase 2,No,"1, 2 BHK  Apartment",560,Completed Projects,None,Maninagar,bSafal Vivaan,,,
Bsafal Parishkaar II,No,2 BHK  Apartment,480,Completed Projects,None,Maninagar,bSafal Vivaan,,,
Bsafal Parishkaar,No,"2, 3 BHK  Apartment",720,Completed Projects,None,Maninagar,bSafal Vivaan,,,
Satyam Satatya Heights,No,3 BHK  Apartment,32,Completed Projects,None,Jodhpur,Satyam Developers Ltd.,,,
Satyam Status,No,"2, 3 BHK  Apartment",95,Completed Projects,61.48 - 90 Lac,Jodhpur,Satyam Developers Ltd.,61.48,90.0,75.74
Bsafal Vivaan,No,"3, 4, 5 BHK  Apartment",148,Completed Projects,None,S G Highway,bSafal Vivaan,,,
BSafal Samprat Residence,No,3 BHK  Apartment,160,Completed Projects,None,Shilaj,bSafal Vivaan,,,
Satyam Sentossa Greenland,No,4 BHK  Apartment,351,Completed Projects,3.55 Cr.,Science City,Satyam Developers Ltd.,355.0,355.0,355.0
Satyam Bunglows,No,"3, 4 BHK  Apartment",,Completed Projects,1.33 - 2 Cr.,Gurukul,Satyam Developers Ltd.,133.0,200.0,166.5
Satyam Crystal,No,3 BHK  Apartment,36,Completed Projects,None,Bodakdev,Satyam Developers Ltd.,,,
City Of Royal Harrittage,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Dholera,Royal Bharti Infracorp Pvt Ltd,,,
Pushparaj Village,No,Individual Houses,,Ongoing Projects,None,Sanand,Pushparaj Group,,,
Aarohi Crest,No,3 BHK  Apartment,,Ongoing Projects,None,South Bopal,Siddhi Developers,,,
Orchid Elegance,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Bopal,Goyal and Company,,,
Nishant Ratnaakar Halcyon,Yes,"3, 4 BHK  Apartment",96,Ongoing Projects,1.35 - 1.39 Cr.,Satellite,Ratnaakar Group,135.0,139.0,137.0
Nishant Regency Park,No,3 BHK  Apartment,40,Completed Projects,None,Ellisbridge,Ratnaakar Group,,,
Nishant Rahul,No,3 BHK  Apartment,58,Completed Projects,None,Anand Nagar,Ratnaakar Group,,,
Nishant Ratnaakar III,No,"3, 4 BHK  Apartment",96,Completed Projects,None,Jodhpur,Ratnaakar Group,,,
Nishant Ratnaakar II,No,2 BHK  Apartment,40,Completed Projects,None,Prernatirth Derasar Road,Ratnaakar Group,,,
Nishant Rosewood Estate,No,"2, 3 BHK  Apartment",200,Completed Projects,None,Jodhpur,Ratnaakar Group,,,
Nishant Ratnaakar Atelier,No,3 BHK  Apartment,108,Completed Projects,1.04 Cr.,Prernatirth Derasar Road,Ratnaakar Group,104.0,104.0,104.0
Nishant Ratnakar IV,No,3 BHK  Apartment,78,Completed Projects,None,Anand Nagar,Ratnaakar Group,,,
Nishant Ratnaakar Beaumonde,Yes,"4, 5 BHK  Apartment",70,Completed Projects,None,Prernatirth Derasar Road,Ratnaakar Group,,,
Nishant Retreat,No,3 BHK  Apartment,50,Completed Projects,None,Shyamal Cross Road,Ratnaakar Group,,,
Nishant Regency Towers,No,"3, 4 BHK  Apartment",150,Completed Projects,None,Vastrapur,Ratnaakar Group,,,
Nishant Richmond Grand,Yes,2 BHK  Apartment,336,Completed Projects,None,Vejalpur,Ratnaakar Group,,,
Nishant Ratnaakar I,No,4 BHK  Apartment,40,Completed Projects,None,Ambawadi,Ratnaakar Group,,,
Nishant Ratnaakar Caledonia,No,4 BHK  Apartment,38,Completed Projects,None,Prernatirth Derasar Road,Ratnaakar Group,,,
Soham Dev Parijat,No,3 BHK  Apartment,74,Completed Projects,None,S G Highway,Dev Parisar,,,
Satva IV,No,4 BHK  Apartment,,Ongoing Projects,None,Naroda,JNM Infrastructure,,,
Popular Paradise,No,"2, 4 BHK  Apartment",,Ongoing Projects,None,Gota,Popular Infra Build Pvt. Ltd.,,,
Golden Greens,No,Residential Plot,,Ongoing Projects,None,Nalsarover,Dharmanandan Infrastructure Pvt. Ltd,,,
Domain Height,No,"2, 4 BHK  Apartment",,Ongoing Projects,None,Shyamal Cross Road,Popular Infra Build Pvt. Ltd.,,,
Parshwanath Atlantis Park,No,"1, 2 BHK  Apartment",,Ongoing Projects,30 - 33 Lac,Sughad,Yashvi Construction,30.0,33.0,31.5
Dholera Prime Home,No,Residential Plot,,Ongoing Projects,None,Dholera,Shivgan Infratech LLP,,,
Anmol Green Villa,No,Residential Plot,,Ongoing Projects,None,Dholka,Shivgan Infratech LLP,,,
Business Hub,No,Business Center,,Ongoing Projects,None,Dholka,Shivgan Infratech LLP,,,
Safal Param,No,4 BHK  Apartment,,Ongoing Projects,2.20 Cr.,Satellite,Safal Constructions Pvt Ltd.,220.00000000000003,220.00000000000003,220.00000000000003
Safal Parishkaar 1,No,2 BHK  Apartment,,Ongoing Projects,31 - 33 Lac,Maninagar,Safal Constructions Pvt Ltd.,31.0,33.0,32.0
Golden Acres,No,Flats & Apartments,,Ongoing Projects,None,Dholera,B Kesar Group,,,
Vishal Residency,No,3 BHK  Apartment,,Completed Projects,85 Lac,Satellite,Goyal and Company,85.0,85.0,85.0
Scarlet Heights,No,3 BHK  Apartment,,Ongoing Projects,8.40 Lac,Satellite,Scarlet Infra Projects LLP,8.4,8.4,8.4
Satva Gokul II,No,2 BHK  Apartment,,Ongoing Projects,None,Kathwada,Satva Galaxy Group,,,
Suramya Lifespace,No,Residential Plot,,Ongoing Projects,22 - 30 Lac,Sanand,Synthesis Spacelinks Pvt. Ltd.,22.0,30.0,26.0
SHARNAM COUNTY,No,4 BHK  Apartment,,Ongoing Projects,1.95 - 2 Cr.,Bopal,Kapila Infrastructure,195.0,200.0,197.5
Shlok Parisar,No,2 BHK  Apartment,,Ongoing Projects,34 Lac,Gota,Shafalya Group,34.0,34.0,34.0
Samanvay Residency,No,"3, 4 BHK  Apartment",,Completed Projects,56 - 75 Lac,South Bopal,Civic Organisers,56.0,75.0,65.5
Gala Empire,No,Office Space,,Ongoing Projects,88.80 Lac,Drive In Road,Gala Infrastructure,88.8,88.8,88.8
Gala Glory,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Bopal,Gala Infrastructure,,,
Gala Celestia,No,2 BHK  Apartment,,Ongoing Projects,None,S G Highway,Gala Infrastructure,,,
Gala Eternia,No,3 BHK  Apartment,,Ongoing Projects,None,Thaltej,Gala Infrastructure,,,
Gala Lotus,No,4 BHK  Apartment,,Ongoing Projects,None,Sanand,Gala Infrastructure,,,
Gala Luxuria,No,"4, 5 BHK  Apartment",,Ongoing Projects,None,Bopal,Gala Infrastructure,,,
Gala Aqua,No,4 BHK  Apartment,,Ongoing Projects,None,Nava Vadaj,Gala Infrastructure,,,
Avirat Silver Gardenia,No,"2, 3 BHK  Apartment",360,Completed Projects,None,Gota,Avirat Infrastructure Pvt Ltd,,,
Safal Summit II,No,3 BHK  Apartment,32,Completed Projects,None,Prahlad Nagar,HN Safal Infra Developers Pvt.Ltd.,,,
Safal Parisar II,No,"2, 3 BHK  Apartment",570,Completed Projects,None,South Bopal,HN Safal Infra Developers Pvt.Ltd.,,,
Vishwanath Sharanam County,No,4 BHK  Apartment,120,Completed Projects,None,South Bopal,Vishwanath Builders,,,
Vishwanath Ishaan 3,No,3 BHK  Apartment,88,Completed Projects,None,Satellite,Vishwanath Builders,,,
Aroma Aakruti Elegance,No,"2, 3 BHK  Apartment",248,Completed Projects,None,Chandkheda,AROMA REALTIES LTD,,,
Avirat Sopan Sharan,No,2 BHK  Apartment,,Completed Projects,None,Chandlodia,Avirat Infrastructure Pvt Ltd,,,
Shree Balaji Wind Park,No,"3, 4, 5, 6, 7 BHK  Apartment",,Ongoing Projects,80 Lac,S G Highway,Shree Balaji Construction,80.0,80.0,80.0
Adani Pratham,No,"1, 2 BHK  Apartment",,Ongoing Projects,20 - 27 Lac,S G Highway,Adani Group,20.0,27.0,23.5
Riviera Harmony,No,4 BHK  Apartment,,Ongoing Projects,16.10 - 16.50 Lac,Prahlad Nagar,Goyal and Company,16.1,16.5,16.3
IndiaBulls Centrum,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Saraspur,Indiabulls Real Estate Limited,,,
Gala Villa Aqua,No,4 BHK  Apartment,,Ongoing Projects,2.18 - 3.31 Cr.,Sanathal,Gala Group,218.00000000000003,331.0,274.5
Aakash Residency,No,1 BHK  Apartment,,Ongoing Projects,18 - 23 Lac,Shela,HN SAFAL REALTY PVT LTD,18.0,23.0,20.5
IndiaBulls Vatika,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Shahibaug,Indiabulls Real Estate Limited,,,
Garden residency 3,No,"2, 3 BHK  Apartment",,Ongoing Projects,45 - 75 Lac,South Bopal,Shaligram Buildcon Pvt. Ltd.,45.0,75.0,60.0
Sundarvan Epitome,No,"4, 6 BHK  Apartment",,Ongoing Projects,31 - 36.20 Lac,Satellite,Ganesh Corporate House,31.0,36.2,33.6
Gala Haven Apartment,No,"2, 3 BHK  Apartment",,Ongoing Projects,35 - 70 Lac,S G Highway,Gala Group,35.0,70.0,52.5
Sangath Terraces,No,3 BHK  Apartment,,Ongoing Projects,65.89 - 79.52 Lac,S G Highway,Sangath IPL,65.89,79.52,72.705
Sapphire Swapneel Elysium,No,2 BHK  Apartment,,Ongoing Projects,51 Lac,South Bopal,Sapphire Construction,51.0,51.0,51.0
Swagat Afford,No,2 BHK  Apartment,,Ongoing Projects,40 Lac,S G Highway,Swagat Infra P Ltd,40.0,40.0,40.0
Safal Parisar 2,No,"2, 3 BHK  Apartment",,Ongoing Projects,52 - 90 Lac,Bopal,HN SAFAL REALTY PVT LTD,52.0,90.0,71.0
Parshwanath Divine,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Sughad,Parshwanath Group of Companies,,,
Magnanimous Greenz,No,Residential Plot,,Ongoing Projects,None,Dholera,Magnanimous Infrastructure Pvt Ltd,,,
Nilaya,No,3 BHK  Apartment,,Ongoing Projects,None,Chimanlal Girdharlal Road,Sheth Buildhome LLP,,,
Savvy Swaraaj Sports Living,No,"2, 3 BHK  Apartment",,Ongoing Projects,56 Lac,S G Highway,Savvy Infrastructures Ltd,56.0,56.0,56.0
Swagat Blossom,No,2 BHK  Apartment,,Ongoing Projects,23.66 - 31.63 Lac,S G Highway,Swagat Infrastructure Ltd,23.66,31.63,27.645
Sangath Posh,No,"3, 4 BHK  Apartment",,Ongoing Projects,10.80 - 86 Lac,Chandkheda,Sangath IPL,10.8,86.0,48.4
Sangath Pure,No,"1, 2 BHK  Apartment",,Ongoing Projects,37 - 42 Lac,Chandkheda,Sangath IPL,37.0,42.0,39.5
Abhishree Orchard,No,"1, 2, 3 BHK  Apartment",,Ongoing Projects,None,S G Highway,Sarthav Group,,,
The Otherside,No,"2, 4, 5 BHK  Apartment",,Ongoing Projects,95 Lac,Sanand,Shantikrupa Estates PVT LTD,95.0,95.0,95.0
Gala Marvella,No,4 BHK  Apartment,,Ongoing Projects,82 Lac - 1.02 Cr.,South Bopal,Gala Infrastructure,82.0,102.0,92.0
Paarijat Eclate,No,4 BHK  Apartment,,Ongoing Projects,28.70 Lac,S G Highway,Safal Constructions Pvt Ltd.,28.7,28.7,28.7
Magnanimous Greenz 3,No,Residential Plot,,Ongoing Projects,4 Lac,Dholera,Magnanimous Infrastructure Pvt. Ltd,4.0,4.0,4.0
Adani Shantigram Waterlily,No,"3, 4 BHK  Apartment",,Ongoing Projects,1.06 - 3.50 Cr.,S G Highway,Adani Group,106.0,350.0,228.0
Suryam Repose,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Sanand,Suryam Group of Companies,,,
Himalaya Elanza,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Ashram Road,Himalaya Buildcon P Ltd,,,
Swagat Flamingo,No,2 BHK  Apartment,,Ongoing Projects,47 Lac,Gandhinagar Highway,Swagat Infra P Ltd,47.0,47.0,47.0
Sentossa Neemland,No,4 BHK  Apartment,,Ongoing Projects,1.80 Cr.,S P Ring Road,Satyam Developers Ltd.,180.0,180.0,180.0
Arvind Flamingo,No,6 BHK  Apartment,13,Completed Projects,None,Shilaj,Arvind Smartspaces,,,
Arvind Dove,No,4 BHK  Apartment,69,Completed Projects,1.86 - 2 Cr.,Shilaj,Arvind Smartspaces,186.0,200.0,193.0
Arvind Ibis,No,5 BHK  Apartment,66,Completed Projects,2.69 - 2.96 Cr.,Shilaj,Arvind Smartspaces,269.0,296.0,282.5
Arvind Pelican,No,5 BHK  Apartment,16,Completed Projects,3.61 Cr.,Shilaj,Arvind Smartspaces,361.0,361.0,361.0
Arvind Sparrow,No,4 BHK  Apartment,112,Completed Projects,1.36 Cr.,Shilaj,Arvind Smartspaces,136.0,136.0,136.0
Aaryan Gloria,No,"2, 3 BHK  Apartment",,Ongoing Projects,38 - 43 Lac,South Bopal,Aaryan Builders,38.0,43.0,40.5
Garden Homes,No,4 BHK  Apartment,,Ongoing Projects,12.70 Lac,Bopal,Shaligram group,12.7,12.7,12.7
Arti Greens,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Sanand,Arti Procon LLP,,,
Safal Sameep,No,2 BHK  Apartment,,Ongoing Projects,50 - 53 Lac,South Bopal,Bsafal Constructions,50.0,53.0,51.5
Sangath Pylon,No,3 BHK  Apartment,,Ongoing Projects,58 Lac,Koteshwar,Sangath IPL,58.0,58.0,58.0
Aaryan Pride,No,2 BHK  Apartment,,Ongoing Projects,36 Lac,Gota,Aaryan Builders,36.0,36.0,36.0
Sanskrut Jewel Residency,No,"4, 6 BHK  Apartment",,Ongoing Projects,23.10 - 65.30 Lac,Ambli,The Sanskrut Group,23.1,65.3,44.2
Savvy Strata,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,S G Highway,Savvy Infrastructure Pvt. Ltd.,,,
Siddhivinayak Elegance,No,"4, 5 BHK  Apartment",,Ongoing Projects,None,Sardar Patel Ring Rd,Vijay buildcon,,,
Roop Villa,No,"1, 3 BHK  Apartment",,Ongoing Projects,11 - 52 Lac,Vatva,Charoliya Brothers,11.0,52.0,31.5
Applewoods Orchid Harmony,No,"2, 3, 4 BHK  Apartment",,Ongoing Projects,62 - 66 Lac,South Bopal,Sangath IPL,62.0,66.0,64.0
Krupal The Freedom City,No,Residential Plot,,Ongoing Projects,None,Bagodara,Narayankrupa Infra,,,
Reflections,No,"2, 3, 4 BHK  Apartment",,Ongoing Projects,42 - 90 Lac,Vaishno Devi Circle,Not known,42.0,90.0,66.0
Malabar County II,No,3 BHK  Apartment,,Ongoing Projects,40 - 45 Lac,S G Highway,Ganesh Housing Corporation Limited,40.0,45.0,42.5
World Trade Center Gift City,No,Business Center,,Ongoing Projects,82 Lac,Gandhinagar Highway,Viridian Red,82.0,82.0,82.0
Shri Balaji Enclave,No,2 BHK  Apartment,,Ongoing Projects,21 - 25 Lac,Naroda,Shri Balaji Developers,21.0,25.0,23.0
Vraj Bhoomi,No,"3, 4 BHK  Apartment",,Ongoing Projects,57 - 78 Lac,Vatva,Sangani Infrastructure India Pvt. Ltd.,57.0,78.0,67.5
Shree Kunj,No,3 BHK  Apartment,,Ongoing Projects,10.50 Lac,Satellite,Nidhi Creators,10.5,10.5,10.5
Takshashila Air,No,3 BHK  Apartment,,Ongoing Projects,None,Ellisbridge,Takshashila,,,
Shashwat Greens,No,Residential Plot,,Ongoing Projects,None,S G Highway,DB Infrastrures pvt. ltd.,,,
Shyam sundar Residency,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Nandej,ADP Buildcon Associates,,,
Aarohi Agha,No,"3, 4 BHK  Apartment",,Ongoing Projects,12.20 - 22.60 Lac,S G Highway,Siddhi Group,12.2,22.6,17.4
Gala Gardenia,No,"3, 4 BHK  Apartment",,Ongoing Projects,71 Lac,Bopal,Gala Infrastructure,71.0,71.0,71.0
Vishwanath Sopan,No,"2, 3 BHK  Apartment",,Ongoing Projects,38 Lac,Sardar Patel Ring Road,Kapila Infrastructure,38.0,38.0,38.0
Gala Laxuria,No,4 BHK  Apartment,,Ongoing Projects,13.30 Lac,S G Highway,Gala Group,13.3,13.3,13.3
Orchid Heights,No,"3, 4 BHK  Apartment",,Ongoing Projects,47 - 59 Lac,Sardar Patel Ring Rd,HN SAFAL REALTY PVT LTD,47.0,59.0,53.0
Shivalik Paradise,No,4 BHK  Apartment,,Ongoing Projects,26 - 26.50 Lac,Ambawadi,SN Developers,26.0,26.5,26.25
Rose and Crowns,No,1 BHK  Apartment,,Ongoing Projects,None,Dholka,Royal Infrastructure,,,
Shubh Aashish,No,3 BHK  Apartment,,Ongoing Projects,None,Paldi,Aditya Property,,,
Dynasty,No,Office Space,,Ongoing Projects,None,Navrangpura,D and C Developers Pvt Ltd,,,
Friendville Lifestyle,No,4 BHK  Apartment,,Ongoing Projects,None,C. G. Road,Friends Infrabuild Pvt Ltd,,,
Kala Square,No,4 BHK  Apartment,,Ongoing Projects,None,Paldi,Kala Projects Pvt Ltd,,,
Aastha Greens,No,3 BHK  Apartment,,Ongoing Projects,42 Lac,Maninagar,B N Project Pvt.Ltd.,42.0,42.0,42.0
Venus Parkland,No,"2, 3 BHK  Apartment",,Ongoing Projects,37 - 66.93 Lac,Vejalpur,Dharmadev Infrastructure Ltd.,37.0,66.93,51.965
Kunvarji Amour,No,3 BHK  Apartment,,Ongoing Projects,None,Ambawadi,Kunvarji Group,,,
Rivera Antilia,No,4 BHK  Apartment,,Ongoing Projects,41.50 Lac,Prahlad Nagar,Saumya Construction Pvt. Ltd.,41.5,41.5,41.5
Green Acres,No,3 BHK  Apartment,,Ongoing Projects,82 Lac - 1.35 Cr.,Prahlad Nagar,Pacifica Companies,82.0,135.0,108.5
Ratnakar - 3,No,4 BHK  Apartment,,Ongoing Projects,2.22 Cr.,Satellite,Ganesh Housing Corporation Limited,222.00000000000003,222.00000000000003,222.00000000000003
Applewoods Sorrel,No,"2, 3, 4 BHK  Apartment",,Ongoing Projects,39 - 91 Lac,Sardar Patel Ring Rd,Applewoods Estate Private Limited,39.0,91.0,65.0
Madhav orchid,No,"2, 3 BHK  Apartment",,Ongoing Projects,17 - 24 Lac,Odhav,madhav group,17.0,24.0,20.5
Suramya Abode,No,Residential Plot,,Ongoing Projects,None,Sanand Nalsarovar Road,Synthesis Spacelinks Pvt. Ltd.,,,
Cloud 9,No,"3, 4 BHK  Apartment",,Ongoing Projects,1.10 - 1.64 Cr.,Nehru Nagar,Addor Realty Pvt Ltd.,110.00000000000001,164.0,137.0
Yash Arian,No,"2, 3 BHK  Apartment",,Ongoing Projects,94 Lac,Gurukul,YASH GROUP OF COMPANIES,94.0,94.0,94.0
Satyamev Vista,No,"2, 3 BHK  Apartment",,Ongoing Projects,48 Lac,S G Highway,Tithi Developers,48.0,48.0,48.0
Orchid Divine,No,3 BHK  Apartment,,Ongoing Projects,40 - 42 Lac,South Bopal,HN SAFAL REALTY PVT LTD,40.0,42.0,41.0
