title,Rera registered,property_type,total_units,possession_status,Price,Location,Builder,Min Price,Max Price,Average Price
Maple Trade Centre,No,Flats & Apartments,,Ongoing Projects,None,Memnagar,Ganesh Housing Corporation Limited,,,
Navkar Greens,No,Flats & Apartments,,Ongoing Projects,None,Bagodara,Kalapi Realty,,,
Suramya Grove,No,Residential Plot,,Ongoing Projects,68.08 Lac - 1.04 Cr.,Hathijan,Synthesis Spacelinks Pvt. Ltd.,68.08,104.0,86.03999999999999
Aakruti Vansh Villa,No,Residential Plot,,Ongoing Projects,None,Bavla,AROMA REALTIES LTD,,,
Safal Vihaan,No,4 BHK  Apartment,92,Completed Projects,1.55 Cr.,Sanathal,HN Safal Infra Developers Pvt.Ltd.,155.0,155.0,155.0
Stanza,No,3 BHK  Apartment,,Ongoing Projects,None,Shela,SAMARTH GROUP,,,
Shubh-II,No,2 BHK  Apartment,,Ongoing Projects,None,Satellite,Shubh Infracon,,,
Krupal Bachpan,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Shela,Narayankrupa Infra,,,
Shayona Tirth,No,3 BHK  Apartment,32,Completed Projects,None,Chanakyapuri,Shayona Land Corporation,,,
Anmol Residency II,No,3 BHK  Apartment,7,Completed Projects,None,Shahibaug,Anmol Infrabuild LLP,,,
Balleshwar Apartments,No,"2, 3 BHK  Apartment",16,Completed Projects,None,Usmanpura,Balleshwar Builders,,,
Shivalik Avenue,Yes,4 BHK  Apartment,,Upcoming Projects,None,Bodakdev,Shivalik Group,,,
Belvista,No,3 BHK  Apartment,,Ongoing Projects,None,Ambli,Arista Life Spaces,,,
Parshwa Luxuria,Yes,4 BHK  Apartment,,Completed Projects,3.35 Cr.,Ambli,Parshwa Infraventures,335.0,335.0,335.0
Shilp Zaveri,Yes,Business Center,,Upcoming Projects,55 Lac - 10.42 Cr.,Shyamal,Zaveri Realty,55.0,1042.0,548.5
Arvind Forreste,Yes,"1 RK  / 1, 2, 3, 4 BHK  Apartment",,Upcoming Projects,55 Lac - 1.99 Cr.,Rancharda,Arvind Smartspaces,55.0,199.0,127.0
Arvind Uplands One,Yes,"4, 5, 6 BHK  Apartment",,Upcoming Projects,2.30 - 5.46 Cr.,Rancharda,Arvind Smartspaces,229.99999999999997,546.0,388.0
Krupal Pathshala,Yes,Business Center,,Upcoming Projects,50 Lac - 2.10 Cr.,Shivranjani,Narayan Krupa Builders Pvt Ltd,50.0,210.0,130.0
Jay Visat Signature,Yes,3 BHK  Apartment,,Upcoming Projects,66.67 - 67.60 Lac,Chandkheda,JVR Infra,66.67,67.6,67.13499999999999
Abjibapa Dev Aashish Sky,Yes,"2, 3 BHK  Apartment",,Upcoming Projects,26.76 - 35.69 Lac,Nava Naroda,Abjibapa Buildcon Pvt Ltd,26.76,35.69,31.225
Abjibapa Dev Aashish Divine II,Yes,2 BHK  Apartment,,Ongoing Projects,22.79 - 26.08 Lac,Narol,Abjibapa Buildcon Pvt Ltd,22.79,26.08,24.435
Ananta Elite,Yes,3 BHK  Apartment,,Upcoming Projects,1.75 - 1.76 Cr.,Ambawadi,Anshul corporation,175.0,176.0,175.5
Balaji Upvan,No,2 BHK  Apartment,,Ongoing Projects,4.50 - 27 Lac,Bagodara,Balajay Infrastructure Pvt. Ltd.,4.5,27.0,15.75
Signature Celestia,Yes,"2, 3 BHK  Apartment",,Upcoming Projects,40.87 - 55.99 Lac,Tragad,Neelkanth Realty,40.87,55.99,48.43
Visionnair,Yes,4 BHK  Apartment,,Ongoing Projects,2.13 Cr.,Bodakdev,V R Infra,213.0,213.0,213.0
Sun Atmosphere,Yes,"2, 3 BHK  Apartment",,Upcoming Projects,33.26 - 43 Lac,Shela,Sun Builders Group,33.26,43.0,38.129999999999995
Dholera Metro City 5001,No,Residential Plot,,Ongoing Projects,6.76 Lac,Dhandhuka,Dholera SIR Infra Development,6.76,6.76,6.76
Dholera Metro City 5002,No,Residential Plot,,Ongoing Projects,6.76 Lac,Dholera,Dholera SIR Infra Development,6.76,6.76,6.76
Dholera Metro City 5003,No,Residential Plot,,Ongoing Projects,6.76 Lac,Dholera,Dholera SIR Infra Development,6.76,6.76,6.76
Dholera Metro City 5004,No,Residential Plot,,Ongoing Projects,14.40 - 28.76 Lac,Dhandhuka,Dholera SIR Infra Development,14.4,28.76,21.580000000000002
Dholera Metro City 5005,No,Residential Plot,,Ongoing Projects,20.71 - 24.99 Lac,Dhandhuka,Dholera SIR Infra Development,20.71,24.99,22.85
Dholera Metro City-1,No,Individual Houses,,Ongoing Projects,6.85 Lac,Dholera,Dholera SIR Infra Development,6.85,6.85,6.85
Dholera Metro City 2,No,Residential Plot,,Ongoing Projects,6.57 Lac,Dholera,Dholera SIR Infra Development,6.57,6.57,6.57
Dholera Metro City 3,No,Residential Plot,,Ongoing Projects,5.89 Lac,Dholera,Dholera SIR Infra Development,5.89,5.89,5.89
Dholera Metro City-4,No,Residential Plot,,Ongoing Projects,5.89 Lac,Dholera,Dholera SIR Infra Development,5.89,5.89,5.89
Rashmi Vihar,Yes,"1, 2 BHK  Apartment",,Completed Projects,14.50 - 22.19 Lac,Narolgam,Rashmi Engicon Pvt. Ltd,14.5,22.19,18.345
Pelican,Yes,Commercial Shops,,Upcoming Projects,None,Odhav,Sheladia Projects,,,
Shilp Epitome,Yes,Business Center,,Upcoming Projects,49.32 Lac - 1.22 Cr.,Bodakdev,Shilp Group,49.32,122.0,85.66
Sun Shela One,Yes,2 BHK  Apartment,,Ongoing Projects,35 - 41 Lac,Shela,Sun Builders Group,35.0,41.0,38.0
Sun South Rayz,Yes,"2, 3 BHK  Apartment",,Upcoming Projects,46.21 - 55.77 Lac,Bopal,Sun Builders Group,46.21,55.77,50.99
Vishwanath Aman,Yes,4 BHK  Apartment,,Upcoming Projects,2.10 Cr.,Thaltej,Vishwanath Realtor,210.0,210.0,210.0
Suryam Aura,Yes,2 BHK  Apartment,,Upcoming Projects,30 - 31.70 Lac,Nikol,Suryam Group of Companies,30.0,31.7,30.85
Suryam Ananta,Yes,3 BHK  Apartment,,Upcoming Projects,42.30 Lac,Vastral,Suryam Group of Companies,42.3,42.3,42.3
